Section     D       B       t       C       R
12CS4x105	12.000	4.000	0.105	0.885	0.1875
12CS4x085	12.000	4.000	0.085	0.836	0.1875
12CS4x070	12.000	4.000	0.070	0.800	0.1875
12CS3.5x105	12.000	3.500	0.105	0.885	0.1875
12CS3.5x085	12.000	3.500	0.085	0.836	0.1875
12CS3.5x070	12.000	3.500	0.070	0.800	0.1875
12CS2.5x105	12.000	2.500	0.105	0.885	0.1875
12CS2.5x085	12.000	2.500	0.085	0.836	0.1875
12CS2.5x070	12.000	2.500	0.070	0.800	0.1875
10CS4x105	10.000	4.000	0.105	0.885	0.1875
10CS4x085	10.000	4.000	0.085	0.836	0.1875
10CS4x070	10.000	4.000	0.070	0.800	0.1875
10CS4x065	10.000	4.000	0.065	0.788	0.1875
10CS3.5x105	10.000	3.500	0.105	0.885	0.1875
10CS3.5x085	10.000	3.500	0.085	0.836	0.1875
10CS3.5x070	10.000	3.500	0.070	0.800	0.1875
10CS3.5x065	10.000	3.500	0.065	0.788	0.1875
10CS2.5x105	10.000	2.500	0.105	0.885	0.1875
10CS2.5x085	10.000	2.500	0.085	0.836	0.1875
10CS2.5x070	10.000	2.500	0.070	0.800	0.1875
10CS2.5x065	10.000	2.500	0.065	0.788	0.1875
10CS2x105	10.000	2.000	0.105	0.885	0.1875
10CS2x085	10.000	2.000	0.085	0.836	0.1875
10CS2x070	10.000	2.000	0.070	0.800	0.1875
10CS2x065	10.000	2.000	0.065	0.788	0.1875
9CS2.5x105	9.000	2.500	0.105	0.885	0.1875
9CS2.5x085	9.000	2.500	0.085	0.836	0.1875
9CS2.5x070	9.000	2.500	0.070	0.800	0.1875
9CS2.5x065	9.000	2.500	0.065	0.788	0.1875
9CS2.5x059	9.000	2.500	0.059	0.773	0.1875
8CS4x105	8.000	4.000	0.105	0.885	0.1875
8CS4x085	8.000	4.000	0.085	0.836	0.1875
8CS4x070	8.000	4.000	0.070	0.800	0.1875
8CS4x065	8.000	4.000	0.065	0.788	0.1875
8CS4x059	8.000	4.000	0.059	0.773	0.1875
8CS3.5x105	8.000	3.500	0.105	0.885	0.1875
8CS3.5x085	8.000	3.500	0.085	0.836	0.1875
8CS3.5x070	8.000	3.500	0.070	0.800	0.1875
8CS3.5x065	8.000	3.500	0.065	0.788	0.1875
8CS3.5x059	8.000	3.500	0.059	0.773	0.1875
8CS2.5x105	8.000	2.500	0.105	0.885	0.1875
8CS2.5x085	8.000	2.500	0.085	0.836	0.1875
8CS2.5x070	8.000	2.500	0.070	0.800	0.1875
8CS2.5x065	8.000	2.500	0.065	0.788	0.1875
8CS2.5x059	8.000	2.500	0.059	0.773	0.1875
8CS2x105	8.000	2.000	0.105	0.885	0.1875
8CS2x085	8.000	2.000	0.085	0.836	0.1875
8CS2x070	8.000	2.000	0.070	0.800	0.1875
8CS2x065	8.000	2.000	0.065	0.788	0.1875
8CS2x059	8.000	2.000	0.059	0.773	0.1875
7CS4x105	7.000	4.000	0.105	0.885	0.1875
7CS4x085	7.000	4.000	0.085	0.836	0.1875
7CS4x070	7.000	4.000	0.070	0.800	0.1875
